"","Latent_Class","Multi_sig","CMulti_sig","Eye_sig","Circulatory_sig","Endocrine_sig","Muscular_sig","Neoplasm_sig","Mental_sig","Nervous_sig","Respiratory_sig","Lung_cancer_sig","Multi_sig_4","CMulti_sig_4","Eye_sig_4","Circulatory_sig_4","Endocrine_sig_4","Muscular_sig_4","Neoplasm_sig_4","Mental_sig_4","Nervous_sig_4","Respiratory_sig_4","Multi_cov_sig","CMulti_cov_sig","Eye_cov_sig","Circulatory_cov_sig","Endocrine_cov_sig","Muscular_cov_sig","Neoplasm_cov_sig","Mental_cov_sig","Nervous_cov_sig","Respiratory_cov_sig","Lung_cancer_cov_sig","Multi_cov_sig_4","CMulti_cov_sig_4","Eye_cov_sig_4","Circulatory_cov_sig_4","Endocrine_cov_sig_4","Muscular_cov_sig_4","Neoplasm_cov_sig_4","Mental_cov_sig_4","Nervous_cov_sig_4","Respiratory_cov_sig_4"
"1","DIFF21",0.085,0.026,0.147,0.358,0.048,0.11,0.763,0,0.373,0.67,0,0.014,0.731,0.019,0.049,0.288,0.856,0.709,0.529,0.843,0.517,0.898,0.313,0.895,0.833,0.028,0.791,0.604,0,0.721,0.445,0,0.262,0.711,0.221,0.222,0.263,0.064,0.614,0.243,0.951,0.668
"2","DIFF31",0.01,0.006,0.238,0.011,0.261,0.131,0.459,1,0.749,0.277,0,0.001,0,0.162,0,0.029,0,0.218,0.71,0.513,0.266,0.029,0.013,0.279,0.048,0.606,0.018,0.766,0.083,0.798,0.384,0,0.003,0,0.378,0.008,0.102,0,0.226,0.962,0.618,0.322
"3","DIFF32",0,0,0.022,0.004,0.009,0.007,0.732,0,0.513,0.627,0.532,0,0,0.002,0,0.012,0,0.501,0.436,0.481,0.145,0.055,0.006,0.325,0.074,0.014,0.101,0.804,0,0.595,0.98,0,0.001,0.009,0.077,0.001,0.028,0.018,0.6,0.247,0.615,0.243
"4","DIFF41",0,0,0.001,0,0,0,0.432,0,0.105,0.004,0,0,0,0,0,0,0,0.197,0.417,0.739,0.023,0,0,0.438,0.001,0,0.04,0.949,0,0.932,0.064,0,0,0,0.668,0.003,0,0,0.388,0.708,0.299,0.208
"5","DIFF42",0,0,0,0,0,0,0.662,0.63,0.615,0.039,0.933,0,0,0,0,0,0,0.422,0.902,0.926,0.012,0,0,0.431,0.002,0,0.129,0.578,0.889,0.737,0.425,0.007,0,0.001,0.124,0,0,0.003,0.802,0.433,0.33,0.153
"6","DIFF43",0,0,0.042,0.005,0,0.001,0.94,0,0.153,0.092,0.428,0,0.001,0.03,0.03,0.03,0,0.937,0.28,0.4,0.286,0.091,0.096,0.809,0.173,0,0.838,0.738,0,0.596,0.355,0,0.212,0.352,0.656,0.66,0.033,0.57,0.787,0.722,0.432,0.805
"7","DIFF51",0.004,0,0.242,0.007,0.027,0.007,0.95,1,0.949,0,0,0.001,0,0.287,0.049,0.547,0,0.252,0.529,0,0.059,0.039,0.011,0.57,0.062,0.264,0.113,0.926,0.584,0.21,0,0,0.015,0.012,0.324,0.211,0.961,0.001,0.279,0.322,0,0.266
"8","DIFF61",0,0,0.005,0,0,0.002,0.268,0,0.17,0.168,0,0,0,0.004,0,0.001,0,0.53,0.132,0.158,0.065,0.023,0.048,0.383,0.241,0,0.298,0.983,0,0.117,0.715,0,0.001,0,0.803,0.043,0.013,0,0.825,0.294,0.029,0.374
"9","DIFF52",0,0,0.765,0.002,0.001,0,0.742,0,0.445,0,0.725,0,0.002,0.178,0,0.137,0,0.498,0.768,0,0.031,0.052,0.003,0.708,0.071,0.004,0.264,0.585,0.001,0.475,0.004,0,0.002,0.124,0.741,0.031,0.269,0.301,0.635,0.499,0,0.203
"10","DIFF62",0,0,0,0,0,0,0.466,0.606,0.828,0.427,0.406,0,0,0,0,0.001,0,0.833,0.671,0.324,0.031,0.032,0.013,0.388,0.23,0,0.517,0.625,0.618,0.621,0.676,0,0,0.01,0.306,0.004,0.004,0.227,0.779,0.765,0.059,0.264
"11","DIFF53",0.58,0.344,0.034,0.687,0.265,0.201,0.489,1,0.841,0,0.713,0.78,0.585,0.031,0.247,0.18,0.967,0.982,0.353,0,0.427,0.856,0.747,0.162,0.876,0.533,0.614,0.737,0.83,0.142,0.001,0,0.864,0.175,0.101,0.309,0.177,0.166,0.98,0.369,0,0.877
"12","DIFF63",0.005,0.028,0.11,0.281,0.002,0.109,0.691,0,0.264,0.757,0.867,0.002,0.014,0.139,0.123,0.212,0.115,0.614,0.091,0.173,0.474,0.733,0.708,0.921,0.548,0.004,0.284,0.803,0,0.016,0.667,0.058,0.644,0.904,0.293,0.717,0.359,0.184,0.422,0.287,0.305,0.961
"13","DIFF54",0.001,0.002,0,0.03,0.002,0.106,0.448,0,0.163,0.011,0.626,0.001,0,0,0.002,0.001,0.001,0.961,0.794,0,0.861,0.167,0.23,0.224,0.276,0,0.745,0.973,0.049,0.185,0.008,0,0.187,0.022,0.176,0.146,0.001,0.05,0.811,0.763,0,0.934
"14","DIFF64",0.202,0.053,0.775,0.125,0.2,0.175,0.752,0.328,0.74,0.201,0.364,0.537,0.475,0.597,0.634,0.449,0.04,0.567,0.489,0.266,0.779,0.221,0.044,0.898,0.061,0.058,0.374,0.935,0.69,0.045,0.167,0,0.476,0.278,0.506,0.437,0.248,0.057,0.557,0.572,0.16,0.759
"15","DIFF65",0.039,0.253,0,0.543,0.079,0.797,0.307,0,0.265,0,0.591,0.008,0.006,0.001,0.012,0.016,0.163,0.624,0.319,0,0.924,0.884,0.497,0.201,0.477,0.036,0.594,0.912,0.001,0.639,0,0,0.55,0.196,0.448,0.513,0.029,0.893,0.453,0.615,0,0.837
